Title;Why is this important;Region;Taxon;Dataset link;User's contact info;Comments
ADU Virtual Museum;The Virtual Museum (VM) provides the platform for citizen scientists to contribute to biodiversity projects. This innovative concept was developed by the Animal Demography Unit in South Africa. The ADU’s Virtual Museum has digital photographs arranged in a database. Members of the public are encouraged to submit digital photographs for the Virtual Museums listed below, along with certain basic information. Species identifications can be made by the observers, and are confirmed by a panel of experts. Distribution maps for each species are available online and serve as conservation and education tools. These maps include Virtual Museum records and sometimes also other distributional records which are contained within the ADU’s databases.;Africa;Multi-taxa;http://vmus.adu.org.za/vm_about.php?database=sabca&prj_acronym=&db=sabca&URL=&Logo=&Headline=&Use_main_filter=&User_id=&Full_name=&serve_sp_list=&drop_down_list=&assessment=&query_id=0&Vm_number=0&recNo=0&numRows=0&start=0;kcopas;#REF!
ADU-Coordinated Waterbird counts;The Animal Demography Unit (ADU) launched the Coordinated Waterbird Counts (CWAC) project in 1992 as part South Africa's commitment to International waterbird conservation. This is being done by means of a programme of regular mid-summer and mid-winter censuses at a large number of South African wetlands.;Africa;Aves;http://cwac.adu.org.za/;kcopas;#REF!
Alaska Ocean Observing Systems (AOOS) Citizen science and community based project collecting data on environment, climate (weather, ice and permafrost), fauna, water quality (http://www.aoos.org/aoos-data-resources/ and http://www.aoos.org/alaska-community-based-monitoring/;Adressing importance og long-term monitoring of environment and climate though biodiversity and climate proxies for sustainable use, safety and conservation management of oceans and coastal areas in Alaska;North America;Multi-taxa;http://www.aoos.org/aoos-data-resources/;kcopas;#REF!
American Oystercatcher Banding;Color banding individual birds helps researchers learn about movement, habitat requirements, and survival, but only if people observe and report the locations of banded birds;North America;Multi-taxa;http://amoywg.org/banding-re-sighting/;kcopas;#REF!
Annual Midwest Crane Count;To monitor the abundance and distribution of cranes in the upper Midwest;North America;Multi-taxa;http://www.savingcranes.org/annual-midwest-crane-count.html;kcopas;#REF!
Aquatic Invasive Species Monitoring;"Help you become familiar with some of the more common native aquatic plants and animals in your lake: Help you monitor for the more common aquatic invasive species; Help you to communicate information to others";North America;Insecta;http://dnr.wi.gov/topic/Invasives/;kcopas;#REF!
Arizona Odonates;Arizona residents are needed to contribute to a photographic guide to dragonflies and damselflies in their state;North America;Aves;http://azodes.org/;kcopas;#REF!
Art Shapiro's Butterfly Project;Art Shapiro began monitoring 10 transects in 1972 and has been conducting bi-weekly monitoring of those sites ever since. He also monitors an additional site as part of NABA's Seasonal Count Program! Art's program is the longest continually running butterfly monitoring project in the world, predating even the British Butterfly Monitoring Scheme.;North America;Multi-taxa;http://butterfly.ucdavis.edu/;kcopas;#REF!
Auchenorrhyncha Recording Scheme;Biological recording is the collection, collation and dissemination of information about the occurrence of animal and plant species in the environment. It encompasses everything from an individual naturalist recording species seen on a favourite walk to major national systematic surveys of particular species or habitats.;Europe;Multi-taxa;http://www.ledra.co.uk/biol_rec.html;kcopas;#REF!
Audubon of Florida EagleWatch;"Audubon Floorida manages 3 CS projects including EagleWatch which seeks information about Bald Eagles, active nest locations and possible disturbances or threats to nesting activities The program is designed to educate volunteer participants in general eagle nesting biology, applicable laws, the identification of nest threats, monitoring techniques and the verification of previously unrecorded active eagle nests AND: Compile data for publication to document urban nesting activity. Emphasize monitoring of urban pairs to record long-term nesting trends; Identify potential threats to nesting success since most threats are related directly or indirectly to human activity; Expand Audubon EagleWatch on a statewide basis while generating increased public awareness of our national symbol This will include programs designed to educate the citizens of Florida in ways to help ensure the continued recovery of the bald eagle.";North America;Multi-taxa;http://fl.audubon.org/get-involved;kcopas;#REF!
