Title;Why is this important;Region;Taxon;Dataset link;User's contact info;Comments
Bangalore Loris project;"This unique citizen science project is an opportunity to learn about slender loris with scientists and to figure out whteher the slender loris survive in our cities such as Bangalore
";Asia;Multi-taxa;;kcopas;#REF!
Barcoding Life's Matrix;Coastal Marine Biolabs and its collaborators are leading a student-centered campaign to generate reference barcodes for fish and invertebrate species that provide vital signs of marine ecosystem health High school students and science teachers are cordially invited to join this scientific campaign as citizen scientists The data that you generate through this campaign will someday help scientists to better understand how human activities and natural events impact California’s marine ecosystems and their inhabitants;North America;Animalia;http://www.studentdNAbarcoding.org/;kcopas;#REF!
Beaver Creek Reserve BioBlitzes (3 different properties);The purpose of the BioBlitzes was to provide Eau Claire County with a more current list of species present on the property for a variety of different taxonomic groups A secondary purpose was to report any species of Special Conservation Need, as indicated in the Wisconsin Wildlife Action Plan, and third, to provide data that the County and State could use to determine where new barrens restoration opportunities might exist;North America;Aves;http://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=4&ved=0CEsQFjAD&url=http%3A%2F%2Fwww.beavercreekreserve.org%2Fwebfiles%2Ffnitools%2Fdocuments%2Fec_bioblitz_report_3_sept_10.pdf&ei=D2U4T--cDdHRiAKR0_HCCg&usg=AFQjCNH3vGt3NJkSCGccgTJlQmpCPIJiag&sig2=g1ZtmVIqzT-49QUCph-41w;kcopas;#REF!
Bee Hunt;To understand the impact of climate change and other factors on plant-pollinator interactions, geographic distributions, and seasonal abundances You can either choose to inventory bees and all other NAtural history at a site, or you can design an experiment that compares polliNAtors at two different patches of flowers;North America;Aves;http://www.discoverlife.org/bee/;kcopas;#REF!
Bees, Wasps and Ants Recording Society - Bees, Wasps and Ants Recording Society;BWARS has 6 projects/surveys for CS to help survey for different hymenopterans;Europe;Aves;http://www.bwars.com/content/observations;kcopas;#REF!
BeeSpotter;The goals of Beespotter are to engage citizen scientists in data collection to establish a much-needed baseline for monitoring population declines, to increase public awareness of pollinator diversity, and enhance public appreciation of polliNAtion as an ecosystem service The use of photography for identification, instead of the net, pin, and spreading board of traditioNAl entomology, is consistent with the goal of preserving bee diversity and enhancing polliNAtor appreciation;North America;Plantae;http://beespotter.mste.illinois.edu/;kcopas;#REF!
Beetles and beetle recording in Great Britain;There are over 4000 species of beetle found in Britain, Ireland and surrounding islands. This website allows you to find out more about these fascinating insects, and provides a gateway for you to submit and manage your beetle records;Europe;Plantae;http://www.coleoptera.org.uk/home;kcopas;#REF!
Birds in Forested Landscapes;Answer questions about other species of forest-dwelling birds and the influences that habitat changes may have on their populations BFL focuses on gaps in scientific knowledge regarding the specific habitat requirements of high-priority forest birds How much habitat do different forest-dwelling bird species require for successful breeding? How are habitat requirements affected by land uses in the surrounding landscape, such as human development, forestry, and agriculture? How do the habitat requirements of a species vary across its range?;North America;Multi-taxa;http://static.birds.cornell.edu/bfl/index.html;kcopas;#REF!
Black Hills Bee Project;Through survey, inventory, documentation, vouchering, and publication, the Black Hills Bee Project will develop basic biological knowledge on the occurrence, distribution, habitats, host plants, geospatial data, and other ecological attributes of the NAtive polliNAtors This knowledge will be used for database development, for inquiries and detailed research on the existence and extinction of species, and for land use effects and climate-related changes to NAtive polliNAtor populations and relationships;North America;Multi-taxa;http://www.sdstate.edu/ps/Severin-McDaniel/DakotaBio/native-bees-black-hills/index.cfm, http://www.sdstate.edu/ps/Severin-McDaniel/DakotaBio/native-bees-black-hills/information-for-project-volunteers.cfm;kcopas;#REF!
Bosque Ecosystem Monitoring Program (BEMP);"It is a long-term program to study the Rio Grande's riverside forest, known locally by its Spanish NAme, ""bosque"" It has two main objectives The first is to involve citizen volunteers (mostly k-12 students) in monitoring key variables that reflect bosque ecosystem structure, functioning, and biodiversity at sites with different flooding histories The second objective is to track environmental trends and make this information available to resource agencies and researchers who maNAge and study the Rio Grande bosque";North America;Multi-taxa;http://www.bosqueschool.org/BEMP.aspx;kcopas;#REF!
Breeding Bird Survey North America;A survey of breeding birds in North America where skileld participants regularly record birds in point counts along a transect. This long term survey (close to 50 years) yields openly accesible data that has been used to estimate trends in abundance in bird species across North America.;North America;Plantae;https://www.pwrc.usgs.gov/bbs/about/;kcopas;#REF!
Breeding Forest Bird Monitoring;The overall goal of landbird monitoring is to track the status and trends of breeding landbirds within Network parks Breeding landbird monitoring will also support and inform management decisions that may affect avian populations AdditioNAl goals are to increase the visibility of the I&M program and to involve the public with the network’s monitoring program;North America;Aves;http://science.nature.nps.gov/im/units/secn/monitor/birds.cfm;kcopas;#REF!
Brithish Myriapod and Isopod Scheme;British Myriapod & Isopod Group aims to actively develop identification, training and recording relevant to improving the knowledge and conservation of centipedes, millipedes, pauropods & symphylans (the Myriapoda) and woodlice & waterlice (the Isopoda).;Europe;Multi-taxa;http://www.bmig.org.uk/home;kcopas;#REF!
British Arachnological Society;The entirely voluntary Spider and Harvestman Recording Schemes are run under the auspices of the British Arachnological Society . One of the main aims of the recording schemes is to provide up-to-date data on the distribution and autecology of spiders and harvestmen in Britain. The data available on this website have been gathered by the Spider Recording Scheme (SRS) since 1987. The distribution maps and summary charts on this website are generated from the latest data available to the recording scheme.;Europe;Crustacea;http://srs.britishspiders.org.uk/;kcopas;#REF!
Butterflies and Moths of North America;Butterflies and Moths of North America (BAMONA) is seeking individuals to submit their sightings of butterflies and moths BAMONA is a user-friendly web site and database that shares butterfly and moth species information with the public via dyNAmic maps, checklists, and species pages Data are updated regularly and come from a variety of sources, including citizen scientists Individuals can get involved by documenting butterflies and moths in their neighborhoods and submitting photographs for review Collaborating lepidopterists serve as coordiNAtors and oversee quality control;North America;Arachnida;http://www.butterfliesandmoths.org/;kcopas;#REF!
Butterfly Conservation UK;If you want to help us save butterflies and moths in the UK, there are lots of ways to contribute! Whether you want to give your time, donate to an appeal or even run an event on our behalf - everything helps towards our conservation work;Europe;Corals;http://butterfly-conservation.org/46/how-you-can-help.html;kcopas;#REF!
Butterfly-Plant Interactions;To better understand the interrelationship between butterfly types and their nectar plants. Additionally, we would like to find out if butterfly types have preference for certain nectar plants.;North America;Fungi;http://www.fairchildgarden.org/education/school-youth/discovery-program;kcopas;#REF!
California Academy of Sciences - projects;CAS supports several CS proejcts including some now longer supported such as Bay Area ants which 1) documented the ant diversity of the Bay Area, 2) Mapping the spread of invasive ants, including the problematic Argentine ant, 3) Creating a permanent collection of ant species for scientific research and teaching, Other formerely supported projects also included The Bay Area’s Most Wanted Spider., documenting the distriubution of Zoropsis spinimana spiders in the Bay Area, Mapping the spread of these invasive spiders;North America;Aves;http://www.calacademy.org/explore-science/academy-citizen-science-projects;kcopas;#REF!
Cambridge Urban Tree Monitoring;Collect tree data to determine ecosystem services.;North America;Multi-taxa;http://www.mytreetracker.org;kcopas;#REF!
Canberra Nature Map;Canberra Nature Map is a unique partnership between nature lovers, nature experts and the ACT Government that allows anyone to report sightings of rare or endangered plant and animal species as well as any of the many treasures that Canberra's Nature Parks are home to.;Oceana;Aves, Mammalia, Reptilia;http://canberranaturemap.org/;kcopas;#REF!
Carolina Butterfly Society;Carolina Butterfly Society emphasizes identifying and watching butterflies in the field and garden rather than collecting them. Every season we organize several butterflying field trips to the various biogeographic regions of the Carolinas. ;North America;Multi-taxa;http://carolinabutterflysociety.org/;kcopas;#REF!
Cascades Butterfly Project;They are monitoring butterfly population responses to climate change in North Cascades National Park and Mount Rainier National Park Trained participants hike to scenic alpine meadows and help scientists identify and count butterflies along the way (Scistarter);North America;Insecta;http://www.Nationalparkstraveler.com/2011/08/citizen-scientists-wanted-cascades-butterfly-project8569;kcopas;#REF!
Cascades Pika Watch;The Cascades Pika Watch engages citizen scientists to locate and map pika populations in Oregon.;North America;Insecta, Plantae;http://www.oregonzoo.org/cascades-pika-watch;kcopas;#REF!
Catalan Butterfly Monitoring Scheme;A citizen science project to monitor the presence and abundance of butterflies;Europe;Multi-taxa;http://www.catalanbms.org/ca/;kcopas;#REF!
Celebrate Urban Birds;An opportunity for everyone across the country to watch birds and participate in activities focused on birds and neighborhood habitat improvement use data collected from participants in the celebration to study these resident and migratory birds - their numbers, their behavior, their interaction with the urban habitat;North America;Mammalia;http://www.birds.cornell.edu/celebration;kcopas;#REF!
Channeled Scablands Cooperative Weed Management Area;Monitor the health of these vernal pools over time. Use the data, for example, to assist in planning urban expansions, timber removal and increase public awareness of ecological value of maintaining healthy vernal pools.;North America;Multi-taxa;http://www.lincolncd.com/?page_id=93;kcopas;#REF!
Chesapeake Bay SAV Hunt;Each year, the US Fish & Wildlife Service coordiNAtes the SAV Hunt, a citizen effort to locate Chesapeake Bay grass beds These grasses, known as submerged aquatic vegetation or SAV, are an important indicator of water quality and provide habitat for wildlife;North America;Plantae;http://www.bayjourNAl.com/article.cfm?article=1491;kcopas;#REF!
Chicago Park District Butterfly Monitoring Program;Through this project we hope to be able to gain a greater knowledge of the butterfly species present in our park system;North America;Plantae;http://stage.chicagoparkdistrict.duodesign.com/index.cfm/fuseaction/volunteer.detail/object_id/66405865-1e21-4b92-984d-2cfcb3195c6f.cfm;kcopas;#REF!
Christmas Bird Count Audubon;From December 14 through January 5 each year tens of thousands of volunteers throughout the Americas brave snow, wind, or rain, and take part in the effort. Audubon and other organizations use data collected in this long-running wildlife census to assess the health of bird populations, and to help guide conservation action.;North America;Annelida;https://www.audubon.org/conservation/science/christmas-bird-count;kcopas;#REF!
Citizen Monitoring of Wisconsin biodiversity;Citizens and scientists working together to monitor and evaluate Wisconsin's natural resources is a unique collaboration that improves the efficiency and effectiveness of monitoring efforts.;North America;Aves;http://dnr.wi.gov/news/images/slideshows/20160411_citizenscience/;kcopas;#REF!
Citizen Science Initiative: Marine Invasive Species Monitoring Organization;Citizen science based monitoring network that monitors native and invasive crab species for early detecion and population densities.;North America;Multi-taxa;http://www.mikedelaney.org/user/;kcopas;#REF!
Citizen Sparrow India;Citizen Sparrow is motivated by the observation that House Sparrows have declined in numbers in many parts of the country, while in a few other parts their numbers are reported to be stable Where are sparrows still found in India? Where were they found before? Where have they declined the most? Have they actually increased in some places? Your information is crucial to finding out the answers to these questions;Asia;Aves;http://www.citizensparrow.in/;kcopas;#REF!
Citsci.org;A citizen science portal that allows users to develop citizen science portal that contribute data in an open and accessible way to a common database. A recent assessment of citsci projects found 41 projects to be mature, with 3 years worth of data, over 100 observations and many participants. of these 41 projects, 30 have been incldue din review as separate programs;Global;Multi-taxa;citsci.org;kcopas;#REF!
City of Fort Collins Natural Areas Program Amphibian Survey;Volunteer based program to monitor native and non-native amphibian species based on standardized national audio surveys.;North America;Plantae;http://www.citsci.org/cwis438/Browse/Project/Project_Info.php?ProjectID=246;kcopas;#REF!
Cladocera Interest Group;The basic aim of the group is to provide a means of communication between members, to share hints, tips and methods for the identification of water fleas, to encourage recording to species level and research on life history and behaviour.;Europe;Aves;http://www.boxvalley.co.uk/nature/cladocera/cindex.asp;kcopas;#REF!
Climatewatch;Developed as a project of Earthwatch Ausralia, Cimatewatch is a collaboration with Atlas of Living Australia to assess phenological cues of over 100 species colelcted along along trails in Australia;Oceana;Elasmobranchs;http://www.climatewatch.org.au/;kcopas;#REF!
COASST;"The Coastal Observation and Seabird Survey Team (COASST) is a 17 year old rigorous citizen science project housed at the University of Washington. COASST trains coastal residents in their communities. Post-training, participants pledge to conduct monthly surveys on a beach that has special meaning to them. At present, three basic types of data are collected: 1. beachcast birds; 2. marine debris; 3. evidence of human use of the beach environment";North America;Aves;http://depts.washington.edu/coasst/;kcopas;#REF!
Coastal Walkabout;Coastal Walkabout is an open access, dynamic, citizen science initiative which utilises smart phone technology and social media to engage and motivate local communities to gather scientific observations within the coastal, estuarine and near-shore environments. The approach seeks to integrate structured and unstructured survey data to leverage citizen, community, government and science engagement. The project is enabling data transfer amongst organisations regionally, nationally and internationally.;Global;Multi-taxa;http://www.coastalwalkabout.org/wordpress/;kcopas;#REF!
Colorado Spider Survey;To inventory and monitor spider diversity in Colorado State, and to acquire a reference collection for the Denver Museum of Nature and Science;North America;Multi-taxa;http://spiders.dmns.org;kcopas;#REF!
Community Aquatic Monitoring Program (CAMP);The Community Aquatic Monitoring Program works with volunteers to monitor the health and marine productivity of CaNAda's water ecosystem;North America;Multi-taxa;http://www.cmag-gams.org/index.php?option=com_content&view=article&id=125%3Acamp-monitoring&catid=77&Itemid=478&lang=en;kcopas;#REF!
Coral watch;CoralWatch is a citizen science project based at The University of Queensland, in Brisbane, Australia. CoralWatch helps non-scientists around the globe understand and support effective reef management by using engaging tools that provide people with accessible information and hands-on-experience collecting scientific data about the health of corals using the Coral Health Chart. This chart standardises changes in coral colours, and provides a simple way for people to quantify coral health and contribute to the CoralWatch global database.;Global;Multi-taxa;http://www.coralwatch.org/web/guest;kcopas;#REF!
Dipterists Forum;In 1993, a group of people who wanted to find out more about every aspect of their lives, including the habitats they require, set up the Dipterists Forum. There is a great deal still to learn about flies. Mapping the distribution of some groups is a major achievement of the Dipterists Forum to date, but the immature stages of the majority of species are still unknown. Many species are becoming increasingly rare as a result of habitat loss and climate change.;Europe;Osteichthyes;http://www.dipteristsforum.org.uk/;kcopas;#REF!
Discovery Circle;The Discovery Circle provides fun opportunities for you to contribute to research and learn about local natural environments. We run Citizen Science projects, interactive workshops and informative blogs to help you connect and learn.;Oceana;Plantae;http://www.discoverycircle.org.au/projects/;kcopas;#REF!
Dragonfly Swarm Project;To use the data collected from participants for two purposes: 1) to publish data from a massive number of dragonfly swarms in the scientific literature, making this information available to scientists, and 2) to provide information about this behavior to the public;Global;Multi-taxa;http://thedragonflywoman.com/;kcopas;#REF!
Dragonfly/Illinois Monitoring Network;To gain a greater knowledge of the distribution and abundance of dragonfly and damselfly species in the Chicago region and eventually to expand the network across Illinois and beyond;North America;Aves;http://www.illinoisodes.org/?page_id=2;kcopas;#REF!
Dragonflywatch;Your records are essential to the work of the British Dragonfly Society. They provide much of the scientific basis for our knowledge, helping us to find out where and when dragonflies occur. For example, mapping records can reveal changes in species’ ranges. Your records also help us to identify and monitor important sites and to steer conservation priorities.;Europe;Amphibia, Mammalia;http://www.british-dragonflies.org.uk/content/recording-dragonflies-and-damselflies-britain;kcopas;#REF!
DRY - monitoring grasslands and trees for drought;We are interested in working collaboratively with the general public and primary and secondary schools to improve our understanding of the impacts of drought on plant and tree ecology in the UK.;Europe;Amphibia;http://dryproject.co.uk/get-involved/;kcopas;#REF!
Dunewatch;he Griffith Centre for Coastal Management is managing a new citizen science program for the Gold Coast called DuneWatch. The program is already underway and had his official launch on December 12th at North Burleigh. DuneWatch was established to give the community an opportunity to assist in collecting vital information on the health of the sand dunes. This will expand the knowledge on the local dune systems and also maps BeachCare’s planting activities.;Oceana;Mammalia;https://www.griffith.edu.au/engineering-information-technology/griffith-centre-coastal-management/community-projects/dunewatch;kcopas;#REF!
Earthwatch Citizen Science projects;Earthwatch co-creates with research scientists field research expeditions in which citizen scientists prtiicipate along side scientists to colelct data on research proejcts around the world.;Global;Aves;http://earthwatch.org/expeditions/investigating-threats-to-chimps-in-uganda;kcopas;#REF!
Earthwatch Forest Climate Centres;Earthwatch Citizen Scienitsts created a series of research programs to study the structure of forests near Gutianshan, China, Oxford, United Kingdom, Brasil's Atlantic Forest, mid Atlantic deciduous forests of the UNited States and the Western ghats in India. Reseserch included better understanding primary production, decomposition and carbon stocks;Europe;Insecta;"http://www.sciencedirect.com/science/article/pii/S0378112713007342; http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0048244#ack; http://www.tropecol.com/pdf/open/PDF_57_1/8%20Murthy%20et%20al%20(2).pdf;";kcopas;#REF!
Earthwatch Urban Forest project LA;Darrel Jenerette of University California Riverside and others are leading Earthwatch citizen scientists to collect information about urban trees;North America;Amphibia, Reptilia;earthwatch.urban resiliency.org;kcopas;#REF!
Earthworm Society of Britain;Through its work the society aims to encourage the conservation of earthworms and their habitats and to educate and inspire people so that these fascinating creatures may continue to be enjoyed in the future. You can help support us by becoming a member! We're also often out and about at bioblitz events so come and say hello and find out more about these fascinating creatures.;Europe;Insecta;http://www.earthwormsoc.org.uk/;kcopas;#REF!
e-Butterfly;eButterfly is an online sightings program where contributors can record butterflies they have observed, build a virtual collection, keep track of lists, find butterflies, explore dynamic maps and share sightings with the larger community. Contributors are also encouraged to upload their historical records.;North America;Annelida;http://www.e-butterfly.org/;kcopas;#REF!
ECOCEAN-whale shark Photo ID library;The library is maintained and used by marine biologists to collect and aNAlyse whale shark encounter data to learn more about these amazing creatures;Global;Plantae;http://www.whaleshark.org/;kcopas;#REF!
EDDMS - Early detection and distribution mapping system;A platform for detecting and mapping invasive species by Georgia's centre ofr Invasive species. Information is reviewed by staff to ensure it is accurate before it is made viewable by the public. Once verified, the information is made freely available to scientists, researchers, land managers, land owners, educators, conservationists, ecologists, farmers, foresters, government personnel, and members of the public. A simple, interactive Web interface engages participants to submit their observations or view results through interactive queries into the EDDMapS database. EDDMapS encourages users to participate by providing Internet tools that maintain their personal records and enable them to visualize data with interactive maps.;North America;Plantae;http://www.eddmaps.org/;kcopas;#REF!
Evolution Megalab;Evolution Megalab asks volunteers to survey banded sNAil populations in Europe to help map climate change effects;Global;Multi-taxa;http://www.evolutionmegalab.org/en_GB/;kcopas;#REF!
Exotic Species Sighting Program;To document invasive marine organisms;Global;Multi-taxa;http://www.reef.org/exotics;kcopas;#REF!
Extreme citizen science;This link references two software that enable data collection and mapping;Global;Multi-taxa;http://www.ucl.ac.uk/excites/software;kcopas;#REF!
Fall Long-billed Curlew Surveys in CA's Central Valley;The goal is to determine how important California's Central Valley is for wintering Long-billed Curlews;North America;Multi-taxa;http://www.prbo.org/cms/449#where;kcopas;#REF!
Finland alien species portal;This Finnish invasive alien species web portal allows citizen sciientists to identify and inform on exotic species. On the site one can find information and pictures of alien species, maps of the spread of invasive species and the fight against the instructions.;Europe;Mammalia;http://www.vieraslajit.fi/;kcopas;#REF!
Firefly Watch;To learn about the geographic distribution of fireflies and their activity during the summer season Fireflies also may be affected by human-made light and pesticides in lawns, so we hope to also learn more about those effects;North America;Multi-taxa;https://www.mos.org/fireflywatch/;kcopas;#REF!
Florida Butterfly Monitoring Network;Dedicated to promoting biodiversity by surveying the health of butterfly populations throughout Floridastatewide citizen scientist program that trains public volunteers and directly engages university scientists, zoological institution staff members, and conservation land maNAgers in field-based conservation and education targeting butterflies;North America;Insecta;http://www.flbutterflies.net/;kcopas;#REF!
Forest Salamander Monitoring;Preliminary objectives of this protocol are to track changes in salamander populations We propose to contribute to a network of sites (volunteer and professioNAl) in North America that will collect trend information on terrestrial salamanders;North America;Insecta;http://www.birds.cornell.edu/citscitoolkit/projects/usnps/netn/salamanders/;kcopas;#REF!
Freshwaterwatch;A global network of citizen science projects assessing freswhater coordinated by Earthwatch where each location collects common variables across all sites as well as a number of local variables of interest to local partner.;Global;Algae, Insecta;https://freshwaterwatch.thewaterhub.org/;kcopas;#REF!
Fresno Bird Count;This project addresses the impacts of urbanization on the distribution and abundance of birds species in Fresno, California, We are a volunteer citizen network established to conduct bird counts in the field;North America;Amphibia;http://www.fresnobirds.org/;kcopas;#REF!
Friends of the Koala;Friends of the Koala not only records the whereabouts of sick and injured koalas we also like to know about healthy ones. By doing this we will build a better picture of koalas in the Northern Rivers Region of NSW.;Oceana;Insecta;http://www.friendsofthekoala.org/wp/?page_id=80;kcopas;#REF!
Frog and water rat Census South East;CS surveys of frogs and water rats;Oceana;Multi-taxa;http://root.ala.org.au/bdrs-core/senrm/bdrs/public/static/blank1.htm;kcopas;#REF!
Frog Listening Network;We need to monitor the populations of frogs and toads that we have right here in Florida;North America;Mammalia;http://www.hillsborough.wateratlas.usf.edu/fln/;kcopas;#REF!
FrogWatch Canada;FrogWatch canada is a program under Nature Watch to work with citizen scientists to monitor frogs populations and their calling in Spring time.;North America;Multi-taxa;https://www.naturewatch.ca/frogwatch/;kcopas;#REF!
Front Range Pika Project;"A citizen science effort to gather baseline data on the current distribution of pikas and pika habitat, as well as data on the phenology of snowmelt, growing season, and pika haying activity. <br><br>Please contact <a href=""mailto:megan@rockymountainwild.org"">Megan Mueller</a> (megan@rockymountainwild.org) if you have questions about FRPP data.";North America;Microbia;http://www.pikapartners.org;kcopas;#REF!
Gelechiid Recording Scheme;The Gelechiid Recording Scheme covers the 161 species in the family Gelechiidae (comprising 54 genera) recorded in the British Isles. It also, following common practise within recently published books, includes species recorded from the Channel Islands.;Europe;Algae, Bacteria, Insecta;http://www.gelechiid.co.uk/gelechiid-recording-scheme;kcopas;#REF!
Global Garlic Mustard Field Survey;Help scientists gather much-needed data on the abundance and distribution of an invasive plant called 'garlic mustard' (scientific NAme: Alliaria petiolata);Global;Aves;http://www.garlicmustard.org/;kcopas;#REF!
Grasshoppers and Related Insects Recording Scheme of Britain and Ireland;The information gathered is used to see how wildlife is responding to factors such as changes in land use and climate. This work would not be possible without the help of people, like you, reporting when and where they find a species. This is an exciting time to record and study these insects and we look forward to receiving your records. Any sightings you submit are examined and verified by an expert, and are then made available the NBN Gateway for conservation, environmental decision-making, education, scientific research and other public benefit uses.;Europe;Plantae;http://www.orthoptera.org.uk/home;kcopas;#REF!
Great Annual Fish Count;To indroduce people to the hobby of fishwatching, and to educate the public about marine resources;Global;Algae, Bacteria, Insecta;http://fishcount.org/index.html;kcopas;#REF!
Great Lakes Worm Watch;Asian Earthworms! Help stop their establishment. The best way to deal with invasive species is to stop their introduction in the first place There are several Asian species of earthworms in the genus “Amynthus” that are knocking on our doorstep and have the potential for very destructive impacts;North America;Annelida;http://greatlakeswormwatch.org/default.htm;kcopas;#REF!
Great Pollinator Project;"To increase understanding of bee diversity in New York City and the region; to raise public awareness of native bees; and to improve park management and home gardening practices to benefit native bees";North America;Multi-taxa;http://greatpollinatorproject.org/;kcopas;#REF!
Green Seattle Partnership Forest Monitoring Team;Restoration is happening throughout Seattle Parks aimed at bringing back native forests But is it working? The GSP Forest Monitoring Team gets residents directly involved in gauging the effectiveness of restoration efforts;North America;Soil, Weather, Moisture;"http://greenseattle.org/forest-steward-newsletters/2011/q2/gsp-volunteer-monitoring-team; http://www.earthcorps.org/pages.php?articleId=739";kcopas;#REF!
Grunion Greeters;We are a group of scientists, community members, environmental organizations, surfers, and beach workers dedicated to a better understanding of the habits and habitats of beach-spawning grunion, Leuresthes tenuis;North America;Aves;http://grunion.pepperdine.edu/;kcopas;#REF!
Hampshire Landscape Watch;Hampshire Landscape Watch is an innovative new project, supported by Innovate UK, to map landscape changes in Hampshire over the last eight years. The objective is to characterise the county’s landscape on two dates, by analysing pairs of aerial photos held by Hampshire County Council, and thereby identify the changes that have taken place in the landscape between these dates. The project will produce the first detailed maps of landscape in the county, together with associated statistics. Results are to be used by Hampshire County Council in a variety of ways, including updating the habitat map of the county and improving flood risk assessment, and will be made available as open data via the Hampshire Hub.;Europe;Amphibia;http://www.hampshire.landscapewatch.com/about.php;kcopas;#REF!
HawkWatch;Hawk Watches around the country allow researchers to collect important data on raptors When these numbers are brought together, the data help scientists understand the status of the raptor population-if the numbers of a species are increasing, decreasing, or stable in the environment Goals - Research, education;North America;Insecta;http://www.hawkwatch.org/;kcopas;#REF!
Hawkwatch International/Hawk count;A hawkwatch is a systematic and organized effort to collect standardized migration count data about diurnal raptors. HWI records species identities of sex, age and color morph, numbers quantities, and behaviors of seasonal migrant raptors. HWI also collects data on weather and observation conditions. Several of our hawkwatch sites also conduct trapping and banding operations, giving visitors the opportunity to see a live raptor up-close before it is released back on its migration journey south. HWI's annual migration research data is publically shared with several partners, including HawkCount and the Raptor Population Index, to contribute to effective conservation of migratory raptors through continent-wide long-term monitoring of raptor migration, scientifically sound assessments of population status, and public outreach and education.;Global;Amphibia;http://www.hawkwatch.org/;kcopas;#REF!
Herpmapper;HerpMapper is a cooperative project, designed to gather and share information about reptile and amphibian observations across the planet. Using HerpMapper, you can create records of your herp observations and keep them all in one place. In turn, your data is made available to HerpMapper Partners – groups who use your recorded observations for research, conservation, and preservation purposes. Your observations can make valuable contributions on the behalf of amphibians and reptiles.;Global;Aves, Mammalia;http://www.herpmapper.org/about;kcopas;#REF!
